|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
190|CAN|08-12-2015|16.8|28.2|0.0|6|70.0|11:58|20.7|62.0|8.0|5|1|1016.2|22.9|56.0|8.0|15|15|1015.0|12
218|QUN|05-12-2015|19.4|32.5|0.2|0|54.0|17:35|27.4|45.0|6.0|3|9|1018.0|29.6|53.0|5.57425742574|2|30.0|1014.0|12
55|MAL|25-06-2015|9.6|14.0|0.0|13|28.0|10:35|10.5|81.0|6.0|14|39|1028.2|13.6|70.0|5.57425742574|13|6|1028.4|6
180|QUN|28-10-2015|22.0|30.8|0.0|4|31.0|13:25|28.6|56.0|6.0|5|7|1020.4|27.3|59.0|5.57425742574|5|20.0|1017.1|10
19|MAL|20-05-2015|13.6|18.1|2.4|3|39.0|0:22|16.1|69.0|6.0|7|20|1010.1|16.9|57.0|5.57425742574|7|17|1011.3|5
172|CAN|20-11-2015|13.1|36.1|0.0|13|72.0|12:09|24.3|50.0|6.0|7|39|1012.6|35.1|15.0|5.57425742574|14|37|1008.1|11
160|CAN|08-11-2015|10.2|20.7|0.6|2|35.0|9:56|15.1|63.0|6.0|10|20|1020.5|20.0|50.0|5.0|1|17|1019.0|11
29|CAN|30-05-2015|-2.0|14.2|0.0|14|39.0|17:30|2.7|98.0|6.0|12|35|1023.3|12.8|51.0|5.57425742574|8|22|1018.1|5
9|CAN|10-05-2015|8.7|14.1|0.0|7|78.0|12:39|10.7|62.0|8.0|8|34|1009.1|10.3|91.0|8.0|8|37|1005.8|5
31|MAL|01-06-2015|5.2|12.2|8.2|11|41.0|14:45|7.2|80.0|6.0|14|18|1023.5|10.0|65.0|5.57425742574|13|13|1024.6|6
69|CAN|09-07-2015|-1.3|13.8|0.0|3|24.0|14:28|5.0|87.0|6.0|0|40|1031.0|13.1|46.0|5.57425742574|7|9|1026.7|7
160|QUN|08-10-2015|18.8|28.1|0.0|0|72.0|13:24|24.5|57.0|6.0|3|17|1027.3|25.1|55.0|5.57425742574|1|43.0|1024.5|10
191|QUN|08-11-2015|19.9|31.8|1.8|1|52.0|17:24|26.9|67.0|6.0|15|3|1012.5|24.8|81.0|5.57425742574|4|9.0|1008.8|11
134|QUN|12-09-2015|16.7|26.4|0.0|0|57.0|14:46|22.7|56.0|6.0|10|9|1026.3|22.8|57.0|5.57425742574|1|39.0|1022.2|9
200|MAL|17-11-2015|15.7|33.3|0.0|6|56.0|10:26|23.5|34.0|6.0|4|9|1012.6|31.8|18.0|5.57425742574|15|15|1008.4|11
91|MAL|31-07-2015|4.1|14.0|0.6|3|41.0|22:29|6.5|82.0|6.0|6|5|1021.5|13.3|45.0|5.57425742574|4|20|1016.8|7
233|QUN|20-12-2015|20.8|31.8|0.0|2|44.0|8:57|26.5|62.0|6.0|3|14|1016.7|29.9|51.0|5.57425742574|2|26.0|1014.4|12
34|CAN|04-06-2015|-6.9|11.4|0.0|3|37.0|15:21|-0.6|93.0|6.0|0|40|1022.8|10.2|46.0|5.57425742574|7|26|1018.3|6
122|QUN|31-08-2015|12.9|25.6|0.0|15|39.0|13:54|17.8|44.0|6.0|13|4|1018.5|24.3|25.0|5.57425742574|16|13.0|1013.8|8
30|MAL|31-05-2015|12.3|16.8|0.0|8|41.0|17:58|13.2|67.0|6.0|4|20|1013.7|13.1|70.0|5.57425742574|8|11|1011.0|5
238|MAL|25-12-2015|21.7|34.1|0.0|3|65.0|8:52|25.5|39.0|6.0|4|29|1011.1|32.6|25.0|5.57425742574|7|24|1005.5|12
56|MAL|26-06-2015|10.5|16.9|0.0|3|24.0|13:32|12.0|84.0|6.0|0|40|1033.0|15.9|53.0|5.57425742574|8|9|1030.9|6
26|CAN|27-05-2015|-0.3|16.8|0.0|14|33.0|14:42|6.9|85.0|6.0|3|38|1026.3|15.4|61.0|8.0|15|24|1022.6|5
89|QUN|29-07-2015|13.9|24.1|0.0|2|48.0|11:53|18.2|51.0|6.0|10|10|1029.3|22.0|50.0|5.57425742574|1|26.0|1025.1|7
220|MAL|07-12-2015|18.1|27.3|0.0|15|24.0|13:46|20.3|79.0|6.0|6|38|1015.5|24.7|60.0|5.57425742574|13|9|1013.1|12
88|MAL|28-07-2015|7.9|14.4|0.0|7|24.0|10:44|10.6|78.0|6.0|14|3|1035.2|12.3|73.0|5.57425742574|12|9|1033.4|7
154|MAL|02-10-2015|9.9|28.6|0.0|3|37.0|12:10|16.4|66.0|6.0|6|39|1032.2|27.9|27.0|5.57425742574|7|20|1027.6|10
60|QUN|30-06-2015|15.8|23.8|0.0|9|44.0|10:29|19.6|71.0|6.0|11|11|1025.8|22.0|64.0|5.57425742574|1|28.0|1022.3|6
1|MAL|02-05-2015|11.6|22.2|0.0|3|41.0|11:21|16.8|63.0|6.0|4|20|1018.9|21.8|49.0|5.57425742574|7|20|1014.6|5
238|QUN|25-12-2015|23.0|33.1|0.0|0|35.0|0:06|29.5|55.0|6.0|1|10|1012.0|30.3|51.0|5.57425742574|2|24.0|1009.2|12
141|CAN|20-10-2015|9.4|29.5|0.0|15|52.0|19:07|19.6|65.0|6.0|10|23|1021.6|29.1|34.0|5.0|15|22|1017.1|10
109|MAL|18-08-2015|6.1|11.1|0.6|15|20.0|7:23|7.3|83.0|6.0|12|2|1023.6|10.3|63.0|5.57425742574|9|6|1023.2|8
72|CAN|12-07-2015|3.1|9.2|10.2|14|39.0|17:04|3.6|90.0|8.0|8|24|1005.1|7.2|65.0|5.57425742574|15|24|1002.1|7
149|MAL|27-09-2015|9.8|20.2|0.0|10|20.0|16:52|11.6|97.0|6.0|4|1|1025.7|18.7|43.0|5.57425742574|12|11|1021.8|9
147|QUN|25-09-2015|15.6|26.8|0.0|1|35.0|15:12|22.2|43.0|6.0|3|8|1021.9|24.1|37.0|5.57425742574|2|20.0|1017.2|9
210|MAL|27-11-2015|9.0|18.2|0.4|15|33.0|9:31|13.7|53.0|6.0|14|6|1017.2|17.8|45.0|5.57425742574|16|11|1017.2|11
167|MAL|15-10-2015|14.4|34.0|0.0|3|54.0|11:08|22.7|48.0|6.0|4|24|1017.7|33.0|16.0|5.57425742574|7|22|1014.1|10
143|MAL|21-09-2015|14.0|18.1|0.0|3|52.0|6:01|18.1|57.0|6.0|7|6|1015.6|11.3|92.0|5.57425742574|9|15|1017.9|9
231|MAL|18-12-2015|19.4|35.4|0.0|3|35.0|9:15|31.3|27.0|6.0|4|19|1011.4|26.3|61.0|5.57425742574|13|13|1008.0|12
235|QUN|22-12-2015|22.0|32.7|0.0|0|43.0|18:05|29.5|51.0|6.0|1|9|1016.8|29.9|53.0|5.57425742574|2|26.0|1013.3|12
127|QUN|05-09-2015|15.9|26.5|0.0|1|33.0|14:41|20.8|65.0|6.0|10|6|1021.2|23.8|55.0|5.57425742574|2|22.0|1017.5|9
181|MAL|29-10-2015|13.7|26.1|0.0|10|28.0|17:42|16.8|78.0|6.0|15|37|1022.5|22.5|58.0|5.57425742574|13|11|1020.0|10
114|QUN|23-08-2015|18.8|27.0|8.4|2|28.0|0:25|23.1|87.0|6.0|2|6|1023.1|24.6|68.0|5.57425742574|2|20.0|1020.5|8
137|MAL|15-09-2015|10.8|15.9|15.8|14|37.0|7:28|13.0|74.0|6.0|14|6|1014.0|13.2|77.0|5.57425742574|9|11|1016.1|9
16|CAN|17-05-2015|-3.1|18.4|0.0|2|17.0|21:51|4.3|93.0|6.0|7|38|1037.2|17.7|32.0|5.57425742574|4|6|1032.5|5
32|QUN|02-06-2015|13.1|22.0|0.0|11|41.0|0:47|14.4|53.0|6.0|12|10|1021.9|21.1|34.0|5.57425742574|2|17.0|1018.1|6
226|QUN|13-12-2015|19.8|30.7|6.6|0|59.0|18:24|25.6|68.0|6.0|3|5|1015.1|29.3|53.0|5.57425742574|1|26.0|1012.9|12
194|MAL|11-11-2015|11.5|20.1|2.0|11|20.0|6:48|13.9|74.0|6.0|11|4|1020.6|18.5|63.0|5.57425742574|13|7|1017.9|11
39|CAN|09-06-2015|7.8|15.1|0.0|7|46.0|3:23|11.2|67.0|1.0|8|30|1021.2|12.2|71.0|8.0|8|33|1022.1|6
104|QUN|13-08-2015|14.5|25.8|0.0|11|43.0|9:23|17.6|34.0|6.0|13|7|1020.6|25.2|18.0|5.57425742574|9|7.0|1017.3|8
